rfid,subid,name,long,lat,area,perim,bleach,blchyn,year
18006,S,Hudson (Coolah) Reef,146.2,-18.05,4.27E-05,0.037933633,3,1,1998
18006,S,Hudson (Coolah) Reef,146.21,-18.05,4.27E-05,0.037933633,2,1,1998
18007,S,Kennedy Shoal,146.45,-18.08,0.000216832,0.05603384,2,1,1998
18008,S,Brook Islands Reef,146.29,-18.15,0.000125585,0.093331911,3,1,1998
18008,S,Brook Islands Reef,146.29,-18.15,0.000125585,0.093331911,1,1,1998
18008,S,Brook Islands Reef,146.29,-18.15,0.000125585,0.093331911,2,1,1998
18008,S,Brook Islands Reef,146.29,-18.15,0.000125585,0.093331911,1,1,1998
18008,S,Brook Islands Reef,146.29,-18.15,0.000125585,0.093331911,1,1,1998
18010,S,Goold Reef,146.15,-18.17,0.000295065,0.14656931,4,1,1998
18010,S,Goold Reef,146.15,-18.17,0.000295065,0.14656931,4,1,1998
18010,S,Goold Reef,146.15,-18.17,0.000295065,0.14656931,4,1,1998
18013,S,Eva Reef,146.32,-18.24,6.19E-05,0.0467884,3,1,1998
18017,S,Reg Ward Reef,146.79,-18.04,0.000305263,0.078540857,3,1,1998
18018,S,Otter Reef,146.56,-18.05,0.011571911,0.426849659,2,1,1998
18020,S,Duncan Reef,146.8,-18.1,0.001569072,0.199376571,2,1,1998
18022,S,U/N Reef,146.76,-18.12,0.001272138,0.15795073,3,1,1998
18023,S,U/N Reef,146.97,-18.14,0.000269547,0.063724981,4,1,1998
18024,S,Britomart Reef,146.73,-18.23,0.011549136,0.525575708,5,0,1998
18026,S,U/N Reef,146.74,-18.32,0.002351098,0.186791049,5,0,1998
18027,S,Trunk Reef,146.83,-18.35,0.009860248,0.397361597,4,1,1998
18029,S,Bramble Reef,146.71,-18.41,0.005232396,0.274557234,3,1,1998
18029,S,Bramble Reef,146.71,-18.41,0.005232396,0.274557234,4,1,1998
18030,S,Kelso Reef,146.99,-18.43,0.000733516,0.11065064,4,1,1998
18031,S,Little Kelso Reef,146.99,-18.47,0.000295759,0.071178118,5,0,1998
18032,S,Rib Reef,146.87,-18.48,0.000379165,0.071088293,4,1,1998
18034,S,Myrmidon Reef,147.39,-18.27,0.000492045,0.085026471,4,1,1998
18039,S,Dip Reef,147.45,-18.41,0.000458246,0.117432742,5,0,1998
18041,S,Faraday Reef,147.35,-18.42,0.000233749,0.062615843,5,0,1998
18046,S,Coil Reef,147.52,-18.44,0.000136978,0.044680913,5,0,1998
18048,S,Pelorus (North Palm or Yanooa) Reef,146.49,-18.56,8.31E-05,0.063417223,2,1,1998
18048,S,Pelorus (North Palm or Yanooa) Reef,146.49,-18.56,8.31E-05,0.063417223,2,1,1998
18048,S,Pelorus (North Palm or Yanooa) Reef,146.49,-18.56,8.31E-05,0.063417223,2,1,1998
18049,A,Orpheus (Goolboddi) Island Reef (No 1),146.49,-18.6,0.000139022,0.060623414,2,1,1998
18049,B,Orpheus (Goolboddi) Island Reef (No 2),146.49,-18.64,8.48E-05,0.043948673,2,1,1998
18049,C,Orpheus (Goolboddi) Island Reef (No 3),146.49,-18.66,0.00014083,0.093658797,2,1,1998
18049,D,Orpheus (Goolboddi) Island Reef (No 4),146.5,-18.64,4.33E-05,0.039450067,1,1,1998
18049,E,Orpheus (Goolboddi) Island Reef (No 5),146.5,-18.59,0.00017432,0.142464446,2,1,1998
18051,S,Pandora Reef,146.43,-18.81,2.45E-05,0.021520102,2,1,1998
18052,A,Curacoa (Noogoo) Reef (No 1),146.56,-18.67,2.88E-05,0.032971936,1,1,1998
18052,B,Curacoa (Noogoo) Reef (No 2),146.55,-18.68,0.000206011,0.124645681,3,1,1998
18054,A,Great Palm Island Reef (No 1),146.58,-18.72,0.000615395,0.171574024,3,1,1998
18054,E,Great Palm Island Reef (No 5),146.64,-18.74,0.00019652,0.140086009,1,1,1998
18054,F,Great Palm Island Reef (No 6),146.6,-18.7,6.41E-05,0.053199616,2,1,1998
18054,G,Great Palm Island Reef (No 7),146.58,-18.68,4.71E-05,0.031785705,2,1,1998
18054,S,NA,146.69,-18.74,NA,NA,1,1,1998
18058,S,Eclipse (Garoogubbee) Reef,146.55,-18.77,1.03E-05,0.018428272,2,1,1998
18059,S,Esk (Soopun) Reef,146.52,-18.78,1.99E-05,0.024181191,1,1,1998
18061,S,Barber (Boodthean) Reef,146.67,-18.78,8.71E-06,0.019033467,2,1,1998
18062,S,Brisk-Falcon Reef,146.53,-18.78,6.91E-05,0.053613507,2,1,1998
18064,S,Fly Island Reef,146.52,-18.83,1.97E-05,0.018212948,2,1,1998
18065,S,Havannah Reef,146.54,-18.84,7.30E-05,0.043213644,2,1,1998
18066,S,Acheron Reef,146.63,-18.97,2.25E-05,0.019803538,1,1,1998
18066,S,Acheron Reef,146.63,-18.97,2.25E-05,0.019803538,1,1,1998
18067,S,Phillips Reef,146.62,-18.98,8.54E-07,0.003281852,1,1,1998
18074,S,Yankee Reef,147.49,-18.57,0.000803489,0.145412062,4,1,1998
18075,S,John Brewer Reef,147.05,-18.63,0.001426555,0.149163316,5,0,1998
18078,S,Lodestone Reef,147.1,-18.7,0.000465035,0.083643421,4,1,1998
18079,S,Keeper Reef,147.27,-18.75,0.000432275,0.092370994,4,1,1998
18080,S,Bowl Reef,147.54,-18.51,0.001744626,0.210074151,5,0,1998
18084,A,Cup Reef (North),147.61,-18.62,0.000231616,0.071206189,5,0,1998
18084,B,Cup Reef (South),147.59,-18.64,0.000176191,0.068984693,5,0,1998
18084,C,Saucer Reef,147.6,-18.66,0.000132605,0.056614873,5,0,1998
18086,S,Chicken Reef,147.71,-18.66,0.000343498,0.067928726,4,1,1998
18088,S,Centipede Reef,147.54,-18.73,0.002239323,0.194202186,4,1,1998
18090,S,Anzac Reefs (No 3),147.84,-18.73,8.10E-05,0.036691934,4,1,1998
18091,S,Lynchs Reef,147.71,-18.77,0.003173579,0.224337338,4,1,1998
18094,S,Anzac Reefs (No 6),147.87,-18.78,0.000390474,0.100844545,4,1,1998
18095,S,Wheeler Reef,147.53,-18.8,7.54E-05,0.032210107,5,0,1998
18099,S,Saville-Kent Reef,147.89,-18.86,0.000931365,0.144507921,4,1,1998
